property_area,house_age,house_style,neighborhood,overall_quality,overall_condition,spaciousness,liv_lot_ratio,remodel_age,bath_area,bsmt_area,garage_area,garage_age,has_2ndfloor,has_porch,has_pool,has_multiple_kitchen,sale_price
1452,63,1.5Fin,BrkSide,5,8,133.0,0.0,60,1.0,798,199,106.0,1,1,0,0,169026
2233,0,1Story,CollgCr,7,5,204.0,0.0,3,2.0,1561,486,8.0,0,1,0,0,167660
3725,7,2Story,NridgHt,9,5,304.0,0.0,6,3.5,1037,631,0.0,1,1,0,0,394413
3177,62,1Story,NAmes,5,5,224.0,0.0,6,2.0,1289,464,36.0,0,1,0,0,171216
1888,35,1Story,NAmes,5,6,191.0,0.0,25,1.0,804,322,48.0,0,1,0,0,150949
2681,3,1Story,StoneBr,8,5,241.0,0.0,4,3.0,1513,809,5.0,0,1,0,0,240855
4179,9,1Story,Timber,7,5,243.0,0.0,3,2.0,1209,475,1.0,0,1,0,0,174078
2237,66,2Story,SWISU,7,9,279.0,0.0,39,1.5,837,265,59.0,1,1,0,0,161908
2806,42,2Story,NAmes,6,5,232.0,0.0,10,2.5,1377,636,50.0,1,1,0,0,249656
2068,8,1Story,CollgCr,6,5,165.0,0.0,-1,2.0,1084,412,10.0,0,1,0,0,201248
1422,69,1.5Fin,IDOTRR,4,6,129.0,0.0,60,1.0,536,279,62.0,0,1,0,0,98971
2123,95,1.5Fin,OldTown,5,7,195.0,0.0,57,2.0,572,312,71.0,1,1,0,0,125010
1979,55,1Story,NAmes,5,5,167.0,0.0,3,2.0,718,509,48.0,0,1,0,0,154267
2141,11,2Story,SawyerW,6,5,355.0,0.0,18,2.5,1522,433,20.0,1,1,0,0,239004
1895,36,1Story,NAmes,5,5,183.0,0.0,10,2.0,1206,433,45.0,0,1,0,0,141135
1429,72,1Story,Edwards,4,5,185.0,0.0,58,1.0,654,253,43.0,0,1,0,0,81108
3541,6,1Story,NridgHt,8,5,283.0,0.0,4,3.0,1647,1028,5.0,0,1,0,0,267739
3220,6,2Story,NridgHt,7,5,277.0,0.0,1,3.5,1158,550,1.0,1,1,0,0,311431
1925,72,2Story,Crawfor,6,6,251.0,0.0,15,1.5,725,525,52.0,1,1,0,0,144560
1760,15,1Story,Mitchel,5,5,186.0,0.0,43,2.0,1088,481,22.0,0,1,0,0,150996
2890,1,1Story,CollgCr,7,5,191.0,0.0,-1,2.0,860,511,5.0,0,1,0,0,156953
3149,38,1Story,NAmes,6,5,163.0,0.0,44,2.0,815,572,47.0,0,1,0,0,202827
2384,4,2Story,Somerst,7,5,284.0,0.0,-1,3.5,835,613,0.0,1,1,0,0,245634
1627,44,1Story,NAmes,5,5,196.0,0.0,21,2.0,883,450,54.0,0,1,0,0,94913
2157,30,1Story,NAmes,5,5,167.0,0.0,33,2.0,775,532,32.0,0,1,0,0,168383
2051,48,1Story,NAmes,4,6,190.0,0.0,59,1.0,607,275,44.0,0,0,0,0,94984
3321,15,1Story,ClearCr,7,5,294.0,0.0,15,3.0,1329,395,5.0,0,1,0,0,256709
2415,45,2Story,NWAmes,6,5,216.0,0.0,44,2.5,586,477,29.0,1,1,0,0,161973
1669,32,2Story,Edwards,6,5,190.0,0.0,38,2.0,691,488,31.0,1,1,0,0,156109
2000,40,1Story,NAmes,5,5,184.0,0.0,3,2.0,816,514,48.0,0,1,0,0,133194
1781,25,1Story,Mitchel,5,5,171.0,0.0,34,2.0,744,530,34.0,0,1,0,0,151592
1751,0,1Story,CollgCr,6,5,217.0,0.0,12,2.0,1512,312,5.0,0,1,0,0,205600
1565,34,1Story,NAmes,5,5,199.0,0.0,32,1.0,813,284,45.0,0,0,0,0,116337
2254,53,1Story,NAmes,5,6,233.0,0.0,55,1.0,762,211,54.0,0,1,0,0,132731
1465,46,1Story,NAmes,5,5,206.0,0.0,4,2.0,843,254,42.0,0,1,0,0,136319
1448,56,1Story,NAmes,5,5,221.0,0.0,60,1.0,698,359,49.0,0,0,0,0,79116
2802,55,2Story,NAmes,6,5,255.0,0.0,9,2.5,902,415,36.0,1,1,0,0,197734
3133,3,1Story,Somerst,8,5,259.0,0.0,0,2.0,1202,691,0.0,0,1,0,0,237953
2313,13,2Story,Gilbert,6,5,232.0,0.0,16,2.5,584,649,29.0,1,1,0,0,193733
1998,46,1Story,CollgCr,5,5,209.0,0.0,35,2.0,1308,552,43.0,0,1,0,0,146746
1973,62,1.5Fin,BrkSide,5,6,197.0,0.0,55,1.0,916,257,90.0,1,1,0,0,131082
3075,39,1Story,NAmes,5,5,165.0,0.0,60,2.0,871,480,41.0,0,1,0,0,140965
2227,51,1Story,NAmes,5,7,191.0,0.0,10,2.0,1045,469,20.0,0,1,0,0,164539
2940,0,1Story,Somerst,8,5,252.0,0.0,1,2.0,1228,876,2.0,0,1,0,0,253273
2956,5,2Story,CollgCr,7,5,267.0,0.0,5,2.5,792,418,6.0,1,1,0,0,168316
2792,7,2Story,Somerst,7,5,257.0,0.0,5,2.5,762,559,7.0,1,1,0,0,131805
1654,42,1Story,NAmes,5,7,185.0,0.0,56,1.0,592,285,46.0,0,1,0,0,132393
2723,26,1Story,NWAmes,7,5,239.0,0.0,5,2.0,1400,551,45.0,0,1,0,0,173102
3371,52,2Story,NWAmes,7,5,269.0,0.0,15,2.5,1111,512,45.0,1,1,0,0,215408
2289,42,1.5Fin,NAmes,6,6,168.0,0.0,57,1.5,740,268,48.0,1,1,0,0,127443
2903,9,1Story,CollgCr,7,5,254.0,0.0,5,2.0,1377,868,9.0,0,1,0,0,243285
2056,97,1.5Fin,OldTown,6,7,187.0,0.0,60,1.0,688,332,61.0,1,1,0,0,123212
2981,8,1Story,CollgCr,6,5,300.0,0.0,8,2.0,784,599,9.0,0,1,0,0,138169
3144,3,1Story,NridgHt,8,5,255.0,0.0,4,3.0,1899,824,5.0,0,1,0,0,241434
2575,40,2Story,Gilbert,7,5,255.0,0.0,8,2.5,790,506,17.0,1,1,0,0,167292
3447,3,1Story,Timber,7,5,307.0,0.0,13,3.0,1520,592,13.0,0,1,0,0,236424
1925,77,2Story,SWISU,6,6,197.0,0.0,37,1.5,792,0,28.0,1,1,0,0,137689
2864,37,1Story,NAmes,5,6,161.0,0.0,60,2.0,1748,299,59.0,0,1,0,0,110388
2451,4,2Story,Gilbert,6,5,237.0,0.0,11,2.5,690,567,11.0,1,1,0,0,174257
1697,39,1Story,NAmes,5,5,180.0,0.0,31,2.0,877,474,36.0,0,1,0,0,164612
1997,41,1Story,CollgCr,6,5,246.0,0.0,47,2.0,1238,542,31.0,0,1,0,0,209475
2323,89,1.5Fin,OldTown,6,6,261.0,0.0,56,1.0,776,199,75.0,1,1,0,0,105487
3733,7,1Story,CollgCr,7,5,263.0,0.0,2,2.0,2191,664,18.0,0,1,0,0,347248
1704,2,1Story,CollgCr,7,5,222.0,0.0,4,2.0,928,571,2.0,0,1,0,0,213970
3374,88,1Story,OldTown,6,5,233.0,0.0,55,2.0,1452,506,51.0,0,1,0,0,94757
1991,100,1.5Fin,OldTown,5,7,166.0,0.0,57,1.0,865,214,82.0,1,1,0,0,98892
1960,51,1Story,NAmes,5,5,167.0,0.0,48,2.0,845,243,49.0,0,0,0,0,138227
2004,89,2Story,SWISU,5,5,151.0,0.0,54,2.0,690,37,,1,1,0,0,116144
1714,46,1Story,NAmes,5,5,171.0,0.0,60,1.0,942,269,50.0,0,0,0,0,133533
1546,108,1Story,OldTown,5,4,183.0,0.0,54,1.0,925,274,91.0,0,1,0,0,145541
2662,10,2Story,SawyerW,6,5,285.0,0.0,13,3.0,1232,523,10.0,1,1,0,0,261066
2718,7,2Story,Gilbert,7,5,303.0,0.0,13,3.5,1423,546,11.0,1,1,0,0,226467
2960,44,1Story,NWAmes,7,5,267.0,0.0,2,3.0,1447,502,2.0,0,1,0,0,166843
1813,49,1.5Fin,NAmes,6,6,191.0,0.0,54,1.5,812,300,35.0,1,1,0,0,105161
1942,91,1.5Fin,NAmes,6,7,164.0,0.0,58,1.5,916,280,71.0,1,1,0,0,152347
3092,6,1Story,CollgCr,6,5,247.0,0.0,6,2.0,1022,659,8.0,0,1,0,0,141356
2880,1,2Story,Somerst,8,5,234.0,0.0,-1,2.5,1275,967,1.0,0,1,0,0,315173
2093,44,1Story,OldTown,5,4,190.0,0.0,51,1.0,1178,224,50.0,0,1,0,0,120093
3293,3,1Story,Somerst,8,5,263.0,0.0,-1,3.0,1631,816,0.0,0,1,0,0,267265
3150,9,1Story,SawyerW,7,5,296.0,0.0,17,3.0,1602,704,13.0,0,1,0,0,243208
3341,95,2Story,Crawfor,7,7,264.0,0.0,18,2.5,598,260,75.0,1,1,0,0,265075
2473,40,1Story,NWAmes,6,5,226.0,0.0,53,2.5,1171,512,27.0,0,1,0,0,141312
1677,53,1.5Fin,OldTown,5,7,224.0,0.0,60,2.0,647,225,79.0,1,1,0,0,106228
4159,3,2Story,NridgHt,8,5,312.0,0.0,3,3.5,1421,802,3.0,1,1,0,0,383438
1938,56,2Story,Gilbert,6,5,298.0,0.0,12,2.5,580,444,63.0,1,1,0,0,156808
1384,38,2Story,NAmes,5,6,193.0,0.0,51,1.5,631,246,40.0,1,1,0,0,125378
3841,10,2Story,Timber,8,5,249.0,0.0,1,3.5,1375,463,1.0,1,1,0,0,268376
2647,9,2Story,SawyerW,6,5,316.0,0.0,12,2.5,626,476,11.0,1,1,0,0,196232
1684,10,SLvl,CollgCr,6,5,198.0,0.0,12,2.5,750,497,13.0,1,1,0,0,117568
3054,8,1Story,CollgCr,7,5,260.0,0.0,-1,2.0,1608,470,10.0,0,1,0,0,161610
1896,45,1Story,NAmes,5,6,175.0,0.0,54,1.5,843,297,40.0,0,1,0,0,132092
1454,37,1.5Fin,NAmes,5,7,163.0,0.0,56,1.5,691,265,44.0,1,1,0,0,127743
2512,74,2Story,Edwards,6,7,190.0,0.0,7,2.0,863,324,56.0,1,1,0,0,144002
1713,64,1.5Fin,BrkSide,5,6,165.0,0.0,60,1.5,734,280,65.0,1,1,0,0,171805
1923,54,2Story,Gilbert,7,5,225.0,0.0,3,2.5,793,463,11.0,1,1,0,0,126442
1229,47,1Story,NAmes,4,5,159.0,0.0,58,1.0,755,301,35.0,0,0,0,0,109224
4243,9,1Story,NridgHt,10,5,274.0,0.0,0,3.5,1587,685,1.0,0,1,0,0,330857
2785,0,2Story,Somerst,7,5,237.0,0.0,4,2.5,1016,864,1.0,1,1,0,0,297171
2967,4,1Story,CollgCr,7,5,256.0,0.0,1,2.0,2158,659,16.0,0,1,0,0,175068
1742,41,2Story,NAmes,5,5,202.0,0.0,39,2.0,806,349,33.0,1,1,0,0,97463
1946,93,1.5Fin,NAmes,5,5,201.0,0.0,52,1.0,970,226,40.0,1,1,0,0,130797
2162,82,1Story,Edwards,6,5,189.0,0.0,5,2.0,758,457,10.0,0,1,0,0,138854
4300,11,2Story,NoRidge,8,5,295.0,0.0,13,3.5,1459,503,5.0,1,1,0,0,220913
2169,11,1Story,CollgCr,5,5,172.0,0.0,4,2.0,967,511,14.0,0,1,0,0,146111
3073,109,2Story,OldTown,7,8,212.0,0.0,12,2.0,520,401,23.0,1,1,0,0,192927
2452,13,2Story,CollgCr,7,5,308.0,0.0,14,3.5,1544,556,14.0,1,1,0,0,183107
2880,1,1Story,Somerst,7,5,248.0,0.0,5,2.0,1150,574,3.0,0,1,0,0,222354
2274,8,2Story,Gilbert,7,5,257.0,0.0,9,2.5,743,627,3.0,1,1,0,0,183884
2396,40,2Story,NWAmes,7,5,243.0,0.0,17,2.5,954,565,20.0,1,1,0,0,207381
3373,34,1Story,NWAmes,8,5,221.0,0.0,31,3.0,1938,873,35.0,0,1,0,0,219528
2884,45,2Story,NWAmes,6,6,245.0,0.0,45,2.5,740,418,29.0,1,1,0,0,139546
2607,83,1.5Fin,OldTown,5,6,197.0,0.0,53,1.0,1078,230,88.0,1,1,0,0,120091
2829,3,1Story,CollgCr,7,5,233.0,0.0,6,2.0,1130,445,1.0,0,1,0,0,228042
3713,34,2Story,NWAmes,7,5,247.0,0.0,-1,2.5,1144,700,6.0,1,1,0,0,193896
1373,8,1Story,CollgCr,7,5,212.0,0.0,2,2.0,957,452,5.0,0,1,0,0,165250
2946,37,1Story,NAmes,6,6,209.0,0.0,43,2.5,1055,581,35.0,0,1,0,0,184637
4043,11,2Story,NoRidge,8,5,301.0,0.0,12,3.5,1635,807,3.0,1,1,0,0,340072
2722,39,2Story,NWAmes,7,5,222.0,0.0,33,2.5,838,493,28.0,1,1,0,0,214954
1798,83,1.5Fin,Edwards,6,7,178.0,0.0,1,2.0,877,195,43.0,1,1,0,0,125492
1749,52,1Story,NAmes,5,5,171.0,0.0,35,2.0,844,379,35.0,0,1,0,0,129633
2447,29,1Story,Mitchel,5,5,183.0,0.0,44,2.0,1226,585,27.0,0,1,0,0,142527
2492,6,1Story,Somerst,7,5,200.0,0.0,2,2.0,1226,551,3.0,0,1,0,0,155089
2192,94,2Story,Gilbert,6,7,232.0,0.0,6,2.5,965,405,8.0,1,1,0,0,165887
2305,23,1Story,Sawyer,5,5,202.0,0.0,4,2.0,1251,493,50.0,0,1,0,0,133233
3894,12,2Story,NoRidge,7,5,289.0,0.0,12,3.5,1217,928,17.0,1,1,0,0,278909
3854,9,2Story,CollgCr,8,5,239.0,0.0,1,3.5,1136,756,9.0,1,1,0,0,271444
3615,5,2Story,Timber,8,5,309.0,0.0,14,3.5,1270,453,2.0,1,1,0,0,278980
2489,42,1Story,NWAmes,6,5,161.0,0.0,31,2.0,1389,506,28.0,0,1,0,0,168746
4168,12,2Story,CollgCr,7,5,309.0,0.0,7,3.5,706,482,5.0,1,1,0,0,248777
1851,51,2Story,NAmes,5,6,208.0,0.0,60,2.5,886,387,42.0,1,1,0,0,212509
1290,29,2Story,NWAmes,6,6,206.0,0.0,29,1.5,729,567,29.0,1,1,0,0,152190
1618,93,1Story,NAmes,5,6,178.0,0.0,50,1.0,748,324,36.0,0,1,0,0,119234
3413,8,2Story,NridgHt,8,5,276.0,0.0,5,3.5,1019,656,0.0,1,1,0,0,236260
2722,0,1Story,NridgHt,8,5,241.0,0.0,4,3.0,1567,917,0.0,0,1,0,0,307337
4212,4,2Story,NridgHt,8,5,260.0,0.0,2,3.5,1751,983,3.0,1,1,0,0,392800
1886,99,1.5Fin,OldTown,5,6,178.0,0.0,57,1.0,806,352,87.0,1,1,0,0,119650
2247,14,2Story,CollgCr,7,5,262.0,0.0,8,2.5,1080,600,14.0,1,1,0,0,214784
1825,41,1Story,NAmes,5,5,165.0,0.0,39,2.0,982,514,60.0,0,1,0,0,154352
1940,49,1Story,NAmes,5,5,204.0,0.0,52,1.0,885,206,34.0,0,1,0,0,160209
3874,75,2Story,Crawfor,7,8,274.0,0.0,5,2.5,692,538,35.0,1,1,0,0,214816
4029,2,1Story,NridgHt,8,5,224.0,0.0,-1,3.5,1230,726,0.0,0,1,0,0,257833
3106,87,2Story,OldTown,7,5,244.0,0.0,18,2.5,820,484,18.0,1,1,0,0,225314
3921,0,1Story,NridgHt,8,5,233.0,0.0,0,2.0,1649,984,0.0,0,1,0,0,282289
1820,32,1.5Fin,NAmes,5,6,183.0,0.0,54,2.0,644,34,32.0,1,1,0,0,139835
2340,93,2Story,Crawfor,6,6,286.0,0.0,55,1.5,766,301,69.0,1,1,0,0,157926
2181,37,1Story,NWAmes,6,5,210.0,0.0,33,2.0,1035,493,27.0,0,1,0,0,161608
3214,4,2Story,NridgHt,7,5,250.0,0.0,1,3.5,1681,506,0.0,1,1,0,0,234178
1878,40,1Story,Mitchel,5,5,147.0,0.0,28,2.0,1353,543,26.0,0,1,0,0,138268
3788,4,1Story,NridgHt,8,5,270.0,0.0,0,3.0,1269,479,0.0,0,1,0,0,216542
2303,45,SLvl,NAmes,6,6,191.0,0.0,41,1.5,922,263,43.0,1,1,0,0,138850
2256,13,2Story,Gilbert,6,5,211.0,0.0,11,2.5,920,538,5.0,1,1,0,0,150451
3524,3,2Story,CollgCr,7,5,335.0,0.0,1,2.5,828,499,8.0,1,1,0,0,229249
4676,3,1Story,Timber,8,5,206.0,0.0,-1,2.0,1729,744,0.0,0,1,0,0,305635
3330,9,1Story,CollgCr,7,5,239.0,0.0,2,2.5,1781,416,4.0,0,1,0,0,222972
2420,3,1Story,Somerst,8,5,207.0,0.0,0,2.0,1672,757,0.0,0,1,0,0,247763
1685,39,1Story,MeadowV,5,5,177.0,0.0,36,2.0,588,530,30.0,0,1,0,0,96215
2019,93,1.5Fin,OldTown,6,6,166.0,0.0,60,1.5,735,235,82.0,1,1,0,0,138996
4514,5,1Story,NridgHt,8,5,250.0,0.0,4,3.0,1611,753,3.0,0,1,0,0,431204
2728,31,1Story,NAmes,5,5,180.0,0.0,32,2.0,1009,473,32.0,0,1,0,0,154398
2688,54,1Story,NAmes,5,5,199.0,0.0,30,2.0,1002,552,46.0,0,1,0,0,158492
2769,3,2Story,Somerst,6,5,200.0,0.0,0,2.5,1175,552,1.0,1,1,0,0,139883
2117,36,1Story,Sawyer,5,5,181.0,0.0,44,2.0,1006,499,25.0,0,1,0,0,149726
3874,13,1Story,CollgCr,8,5,289.0,0.0,3,3.0,1867,720,6.0,0,1,0,0,270076
2156,33,2Story,NAmes,6,6,189.0,0.0,40,1.5,668,314,26.0,1,1,0,0,117584
1900,63,2Story,Crawfor,6,7,237.0,0.0,7,1.5,944,341,62.0,1,1,0,0,116491
1785,32,1Story,NAmes,6,5,170.0,0.0,1,2.0,1085,536,34.0,0,1,0,0,141211
2048,38,1Story,Mitchel,5,5,203.0,0.0,24,2.0,917,439,33.0,0,1,0,0,134289
2072,42,SLvl,MeadowV,6,6,158.0,0.0,35,2.0,549,556,36.0,0,1,0,0,124955
1694,79,2Story,BrDale,6,5,165.0,0.0,29,1.5,476,242,32.0,1,1,0,0,97222
2846,39,1Story,NWAmes,5,5,181.0,0.0,38,2.0,1047,532,26.0,0,1,0,0,128089
1734,44,1Story,NAmes,5,5,187.0,0.0,30,2.0,1215,395,54.0,0,1,0,0,106257
2137,8,2Story,Gilbert,7,5,255.0,0.0,6,3.5,610,503,2.0,1,1,0,0,192151
2362,41,1Story,NAmes,6,6,188.0,0.0,50,2.5,1013,539,47.0,0,1,0,0,164345
3350,4,2Story,Somerst,8,5,340.0,0.0,5,3.5,824,610,3.0,1,1,0,0,265248
2024,33,2Story,NAmes,6,6,278.0,0.0,24,1.5,776,301,39.0,1,1,0,0,151202
3521,0,1Story,CollgCr,7,5,278.0,0.0,3,3.0,1235,860,8.0,0,1,0,0,219772
1608,54,1Story,OldTown,5,5,182.0,0.0,53,1.0,665,283,56.0,0,1,0,0,82785
1896,35,1Story,NAmes,5,5,149.0,0.0,37,2.0,824,26,,0,0,0,0,128560
2348,66,1Story,NAmes,5,5,188.0,0.0,5,2.0,809,649,30.0,0,1,0,0,139603
4091,83,2Story,Crawfor,7,5,249.0,0.0,4,3.5,858,373,14.0,1,1,0,0,241600
3279,50,1Story,NAmes,5,5,214.0,0.0,37,2.0,1480,531,38.0,0,1,0,0,148482
3016,47,1Story,NAmes,6,5,213.0,0.0,34,2.5,902,464,39.0,0,1,0,0,183750
2079,27,1Story,Mitchel,5,5,181.0,0.0,32,2.0,1021,545,34.0,0,1,0,0,151124
2260,10,SLvl,NAmes,6,5,161.0,0.0,10,1.5,698,466,14.0,1,1,0,0,171670
1180,99,2Story,OldTown,6,5,195.0,0.0,14,2.0,843,296,22.0,1,1,0,0,150797
3511,6,2Story,CollgCr,7,5,240.0,0.0,-1,2.5,522,492,6.0,1,1,0,0,191690
3875,4,2Story,NridgHt,8,5,248.0,0.0,5,3.5,1488,669,2.0,1,1,0,0,348450
1613,77,1Story,BrkSide,5,7,157.0,0.0,60,1.0,846,233,86.0,0,1,0,0,94020
2198,50,1Story,NAmes,5,7,178.0,0.0,5,2.0,1022,418,11.0,0,1,0,0,142295
2999,38,1Story,CollgCr,5,5,240.0,0.0,6,2.0,1040,515,12.0,0,1,0,0,209768
3221,5,1Story,NridgHt,8,5,207.0,0.0,5,3.0,1934,789,5.0,0,1,0,0,334067
1846,7,2Story,Somerst,7,5,288.0,0.0,0,2.5,569,472,4.0,1,1,0,0,187994
2392,97,2Story,OldTown,7,8,242.0,0.0,2,2.5,685,444,5.0,1,1,0,0,155163
2625,10,1Story,CollgCr,7,5,262.0,0.0,7,3.0,1296,476,0.0,0,1,0,0,223663
3439,0,1Story,NridgHt,8,5,336.0,0.0,2,3.0,1379,750,4.0,0,1,0,0,264482
3237,28,2Story,NWAmes,6,5,280.0,0.0,41,2.5,1003,536,32.0,1,1,0,0,204979
3005,4,2Story,CollgCr,7,5,235.0,0.0,0,2.5,1069,615,1.0,1,1,0,0,222139
1685,95,1Story,NAmes,5,6,212.0,0.0,52,2.0,869,224,58.0,0,1,0,0,128995
3227,9,2Story,SawyerW,7,5,291.0,0.0,9,2.5,712,554,10.0,1,1,0,0,217147
1655,94,1.5Fin,Edwards,5,6,203.0,0.0,52,2.0,965,292,41.0,1,1,0,0,104493
4247,5,2Story,NridgHt,9,5,275.0,0.0,3,3.5,1421,732,0.0,1,1,0,0,440639
3420,15,2Story,NoRidge,7,5,262.0,0.0,15,3.5,642,867,22.0,1,1,0,0,207360
2182,61,1Story,Edwards,5,7,210.0,0.0,4,2.0,689,284,43.0,1,1,0,0,133691
3856,4,2Story,Somerst,7,5,254.0,0.0,4,2.0,1388,617,9.0,1,1,0,0,149444
1637,24,1Story,Edwards,6,7,194.0,0.0,2,2.0,962,480,37.0,0,1,0,0,120155
2466,31,1Story,CollgCr,6,5,195.0,0.0,32,2.0,866,577,28.0,0,1,0,0,152281
1945,47,1Story,Mitchel,5,5,164.0,0.0,4,2.0,1054,358,18.0,0,1,0,0,116191
2161,45,1Story,NAmes,5,5,153.0,0.0,49,2.0,1009,336,52.0,0,0,0,0,151644
1509,61,1Story,NAmes,5,5,197.0,0.0,53,2.0,675,282,48.0,0,0,0,0,104052
2457,43,1Story,NAmes,5,5,146.0,0.0,15,2.0,992,631,57.0,0,1,0,0,160197
2785,5,2Story,Gilbert,7,5,262.0,0.0,4,3.5,798,589,4.0,1,1,0,0,241561
2327,110,2Story,OldTown,7,8,197.0,0.0,12,2.0,654,266,50.0,1,1,0,0,96459
1535,82,2Story,Edwards,5,5,212.0,1.0,1,2.0,611,275,32.0,1,1,0,0,70725
3632,8,2Story,NridgHt,8,5,223.0,0.0,-1,3.5,1046,853,0.0,1,1,0,0,223305
1811,51,1Story,NAmes,5,6,198.0,0.0,49,1.0,898,198,39.0,0,0,0,0,122266
4627,104,1.5Fin,OldTown,6,7,231.0,0.0,56,2.0,1055,634,62.0,1,1,0,0,152477
2333,3,1Story,Somerst,7,5,275.0,0.0,-1,2.5,1728,441,7.0,0,1,0,0,151725
2974,12,1Story,NridgHt,8,5,226.0,0.0,4,3.0,1498,772,0.0,0,1,0,0,290874
1598,40,1Story,NAmes,6,5,184.0,0.0,32,2.0,828,403,39.0,0,1,0,0,135830
1967,32,2Story,NAmes,6,6,196.0,0.0,58,1.5,690,286,36.0,1,1,0,0,117536
4409,5,2Story,NoRidge,8,5,347.0,0.0,16,3.5,1548,769,20.0,1,1,0,0,409343
3027,5,1Story,NridgHt,8,5,229.0,0.0,3,3.0,1592,938,3.0,0,1,0,0,345755
1789,70,2Story,BrDale,6,5,199.0,1.0,34,1.5,438,192,29.0,1,1,0,0,81026
2624,38,1Story,NWAmes,6,5,231.0,0.0,33,2.5,1450,476,30.0,0,1,0,0,137386
2508,4,1Story,NWAmes,7,5,249.0,0.0,2,2.5,853,427,0.0,0,1,0,0,157790
2926,7,2Story,Gilbert,7,5,322.0,0.0,0,2.5,684,423,1.0,1,1,0,0,207319
2251,90,1.5Fin,OldTown,5,6,175.0,0.0,60,2.0,642,201,46.0,1,1,0,0,145332
1956,40,2Story,NAmes,6,6,203.0,0.0,37,2.5,741,270,45.0,1,1,0,0,111399
3051,2,1Story,CollgCr,7,5,269.0,0.0,6,3.0,1417,452,2.0,0,1,0,0,287343
2022,105,2Story,OldTown,7,8,266.0,0.0,11,2.5,860,222,76.0,1,1,0,0,210883
2716,8,1Story,CollgCr,7,5,270.0,0.0,5,2.0,1304,466,1.0,0,1,0,0,223727
2551,36,1Story,CollgCr,7,5,195.0,0.0,6,2.0,1279,492,18.0,0,1,0,0,227325
3086,16,1Story,CollgCr,7,5,231.0,0.0,18,3.0,1778,495,27.0,0,1,0,0,196374
2722,44,2Story,NWAmes,7,5,218.0,0.0,36,2.5,1040,539,8.0,1,1,0,0,225956
1881,90,1.5Fin,OldTown,5,6,185.0,0.0,58,1.0,703,197,98.0,1,1,0,0,111280
2330,69,2Story,Crawfor,6,8,265.0,0.0,57,1.5,726,254,93.0,1,1,0,0,149264
2511,11,1Story,Gilbert,6,5,317.0,0.0,7,2.0,1007,454,7.0,0,1,0,0,171604
3135,12,2Story,CollgCr,7,5,376.0,0.0,1,2.5,1058,463,0.0,1,1,0,0,230386
4269,7,1Story,NridgHt,8,5,267.0,0.0,7,3.0,1550,943,8.0,0,1,0,0,270291
2523,5,2Story,NoRidge,8,5,303.0,0.0,8,3.5,979,639,7.0,1,1,0,0,331842
1710,45,1Story,NAmes,5,6,188.0,0.0,42,1.0,979,288,52.0,0,1,0,0,96142
4591,2,1Story,NridgHt,8,5,278.0,0.0,-1,3.0,1712,831,0.0,0,1,0,0,336956
1945,51,1Story,NAmes,5,5,173.0,0.0,53,1.0,775,276,52.0,0,0,0,0,101480
2216,92,1.5Fin,OldTown,5,7,181.0,0.0,58,1.0,571,225,80.0,0,1,0,0,177078
1655,45,1Story,NAmes,5,5,189.0,0.0,3,2.0,711,190,41.0,0,1,0,0,145467
1965,63,2Story,SWISU,6,8,168.0,0.0,60,1.5,677,190,26.0,1,1,0,0,145758
3440,6,2Story,CollgCr,9,5,317.0,0.0,13,3.5,1017,815,2.0,1,1,0,0,339448
2121,11,1Story,CollgCr,7,5,294.0,0.0,7,2.5,1582,507,10.0,0,1,0,0,224044
1834,71,2Story,OldTown,6,6,179.0,0.0,60,1.5,509,182,55.0,1,1,0,0,115769
2795,11,2Story,CollgCr,7,5,269.0,0.0,6,2.5,763,462,12.0,1,1,0,0,213605
1729,76,2Story,SWISU,6,7,277.0,0.0,52,1.5,881,418,68.0,1,1,0,0,154894
3508,0,1Story,NridgHt,8,5,237.0,0.0,0,3.0,1512,867,0.0,0,1,0,0,352871
2125,32,2Story,Gilbert,7,5,248.0,1.0,4,2.5,510,559,9.0,1,1,0,0,208457
2391,12,1Story,NAmes,6,7,229.0,0.0,9,2.0,1085,556,18.0,0,1,0,0,180661
2185,109,1.5Fin,OldTown,5,7,201.0,0.0,57,1.0,730,272,77.0,1,1,0,0,142239
3674,16,2Story,NoRidge,7,5,231.0,0.0,16,3.5,812,885,19.0,1,1,0,0,258887
2268,96,1.5Fin,OldTown,5,7,199.0,0.0,53,2.0,552,241,61.0,1,1,0,0,103441
2599,8,1Story,CollgCr,6,5,178.0,0.0,4,2.0,1373,452,14.0,0,1,0,0,164767
1933,85,1Story,NAmes,5,6,162.0,0.0,51,1.0,698,255,63.0,0,1,0,0,150231
2661,5,1Story,CollgCr,7,5,231.0,0.0,5,2.0,1511,543,10.0,0,1,0,0,225158
2804,9,2Story,Gilbert,7,5,255.0,0.0,0,2.5,845,513,2.0,1,1,0,0,184615
2380,10,2Story,Gilbert,7,5,252.0,0.0,14,2.5,656,531,4.0,1,1,0,0,148606
2821,28,2Story,NWAmes,7,5,284.0,0.0,36,2.5,1072,421,27.0,1,1,0,0,243524
1869,63,1Story,NAmes,5,6,179.0,0.0,56,1.0,843,467,53.0,0,1,0,0,108514
3062,0,2Story,NridgHt,8,5,237.0,0.0,-1,3.5,1261,827,0.0,1,1,0,0,292099
